kernel,shape,dtype,kernel_ms,gb_s,gb,tflops
fused_attn_fwd,"(1, 4096, 16, 128)",torch.float16,0.14995487999999998,447.52704280114136,0.067108864,916.5353836567374
fused_attn_fwd,"(2, 4096, 16, 128)",torch.bfloat16,0.25589043000000006,524.5124954458046,0.134217728,1074.2015906730078
fused_attn_fwd,"(2, 4096, 16, 128)",torch.float16,0.2594123200000002,517.3914947447365,0.134217728,1059.6177812372205
fused_attn_fwd,"(1, 1024, 32, 128)",torch.bfloat16,0.031080040000000007,1079.613539750914,0.033554432,552.7621323524679
fused_attn_fwd,"(1, 1024, 32, 128)",torch.float16,0.03108847999999996,1079.3204428135455,0.033554432,552.6120667205352
fused_attn_fwd,"(4, 1024, 32, 128)",torch.bfloat16,0.0830104500000001,1616.877489520896,0.134217728,827.8412746346986
fused_attn_fwd,"(4, 1024, 32, 128)",torch.float16,0.08417285999999985,1594.548741720315,0.134217728,816.4089557608014
fused_attn_fwd,"(8, 1024, 32, 128)",torch.bfloat16,0.15032806999999995,1785.664220926937,0.268435456,914.2600811145918
fused_attn_fwd,"(8, 1024, 32, 128)",torch.float16,0.1539916699999999,1743.1816669044515,0.268435456,892.509013455079
fused_attn_fwd,"(4, 8192, 16, 128)",torch.bfloat16,1.8878775599999986,284.37803561794567,0.536870912,1164.8124338911055
fused_attn_fwd,"(4, 8192, 16, 128)",torch.float16,1.9258809499999987,278.76640661511317,0.536870912,1141.8272014955035
fused_attn_fwd,"(1, 4096, 64, 192, 128)",torch.bfloat16,0.6133225499999999,547.0927491578453,0.33554432,1120.4459502752673
fused_attn_fwd,"(1, 4096, 64, 192, 128)",torch.float16,0.6304415900000004,532.23696742469,0.33554432,1090.021309285765
fused_attn_fwd,"(1, 4096, 64, 128, 128)",torch.bfloat16,0.4868267899999996,551.398282744465,0.268435456,1129.263683060664
fused_attn_fwd,"(1, 4096, 64, 128, 128)",torch.float16,0.49817281000000024,538.8400382590128,0.268435456,1103.544398354458
fused_attn_fwd,"(1, 4096, 32, 128, 128)",torch.bfloat16,0.25537543999999995,525.570227113461,0.134217728,1076.3678251283682
fused_attn_fwd,"(1, 4096, 32, 128, 128)",torch.float16,0.2596774800000001,516.863179664251,0.134217728,1058.535791952386
fused_attn_bwd,"(1, 512, 16, 128)",torch.bfloat16,0.03265187999999996,513.8208274684342,0.016777216,131.53813183191917
fused_attn_bwd,"(1, 512, 16, 128)",torch.float16,0.032451840000000044,516.9881276377542,0.016777216,132.3489606752651
fused_attn_bwd,"(1, 1024, 16, 128)",torch.bfloat16,0.058974959999999986,568.9606572009546,0.033554432,291.30785648688874
fused_attn_bwd,"(1, 1024, 16, 128)",torch.float16,0.058690400000000045,571.7192590270296,0.033554432,292.72026062183915
fused_attn_bwd,"(1, 2048, 16, 128)",torch.bfloat16,0.16407952000000026,409.0020741162572,0.067108864,418.81812389504734
fused_attn_bwd,"(1, 2048, 16, 128)",torch.float16,0.16315695000000002,411.3147739032876,0.067108864,421.1863284769664
fused_attn_bwd,"(2, 2048, 16, 128)",torch.bfloat16,0.26898477999999976,498.97889389875564,0.134217728,510.95438735232574
fused_attn_bwd,"(2, 2048, 16, 128)",torch.float16,0.27008921000000025,496.93850413350424,0.134217728,508.8650282327083
fused_attn_bwd,"(4, 2048, 16, 128)",torch.bfloat16,0.47050274999999986,570.5289841557783,0.268435456,584.2216797755169
fused_attn_bwd,"(4, 2048, 16, 128)",torch.float16,0.47425492000000036,566.015121150456,0.268435456,579.5994840580669
fused_attn_bwd,"(8, 2048, 16, 128)",torch.bfloat16,0.8874487000000013,604.9599396562294,0.536870912,619.4789782079789
fused_attn_bwd,"(8, 2048, 16, 128)",torch.float16,0.8921299499999996,601.785549291334,0.536870912,616.2284024743259
fused_attn_bwd,"(1, 4096, 16, 128)",torch.bfloat16,0.4482246100000001,299.4430136265833,0.134217728,613.2592919072426
fused_attn_bwd,"(1, 4096, 16, 128)",torch.float16,0.45146096,297.29642182128,0.134217728,608.8630718899814
fused_attn_bwd,"(2, 4096, 16, 128)",torch.bfloat16,0.8062050499999988,332.96176450395643,0.268435456,681.9056937041028
fused_attn_bwd,"(2, 4096, 16, 128)",torch.float16,0.8011608199999993,335.0581422591288,0.268435456,686.1990753466956
fused_attn_bwd,"(1, 1024, 32, 128)",torch.bfloat16,0.10595905000000004,633.3471657210968,0.067108864,324.2737488492016
fused_attn_bwd,"(1, 1024, 32, 128)",torch.float16,0.10512481,638.3732251216436,0.067108864,326.8470912622815
fused_attn_bwd,"(4, 1024, 32, 128)",torch.bfloat16,0.3186644099999996,842.3766431902462,0.268435456,431.29684131340605
fused_attn_bwd,"(4, 1024, 32, 128)",torch.float16,0.31867355000000036,842.3524826581928,0.268435456,431.2844711209947
fused_attn_bwd,"(8, 1024, 32, 128)",torch.bfloat16,0.5920823900000004,906.7503460118105,0.536870912,464.2561771580469
fused_attn_bwd,"(8, 1024, 32, 128)",torch.float16,0.5951089699999996,902.1388334980069,0.536870912,461.8950827509795
fused_attn_bwd,"(4, 8192, 16, 128)",torch.bfloat16,5.5017303600000025,195.16438533712503,1.073741824,799.393322340864
fused_attn_bwd,"(4, 8192, 16, 128)",torch.float16,5.809661500000001,184.82003194162002,1.073741824,757.0228508328755
fused_attn_bwd,"(1, 4096, 64, 192, 128)",torch.bfloat16,2.1706717899999983,309.16172730102164,0.67108864,633.1632175124922
fused_attn_bwd,"(1, 4096, 64, 192, 128)",torch.float16,2.208662249999999,303.8439399233633,0.67108864,622.272388963048
fused_attn_bwd,"(1, 4096, 64, 128, 128)",torch.bfloat16,1.5428328499999986,347.97736643992283,0.536870912,712.657646468962
fused_attn_bwd,"(1, 4096, 64, 128, 128)",torch.float16,1.5745143100000019,340.97556852309543,0.536870912,698.3179643352995
fused_attn_bwd,"(1, 4096, 32, 128, 128)",torch.bfloat16,0.8039130999999995,333.9110359067419,0.268435456,683.8498015370074
fused_attn_bwd,"(1, 4096, 32, 128, 128)",torch.float16,0.8041876400000005,333.7970426901859,0.268435456,683.6163434295006
